tag	title	index_start	index_end	formerly	notes
AAA	American-Arab Affairs				
AAPSS-A	American Academy of Political and Social Science, Annals				
A Anth	American Anthropologist				
A Arch	American Archivist				
A Art	American Artist				
AB	AB Bookman's Weekly				
ABC	American Book Collector			Book Collector's Market	
ABR	American Book Review				
AC	American City and Council				
ACSB	Appraisal: Children's Science Books	1975	1980		
AE	Adult Education Quarterly				
AER	American Economic Review	1969	1974		
AF	American Forests				
AH	American Heritage	1977			
AHR	American Historical Review				
A Hy R	American History Review				
AIQ	American Indian Quarterly	1974			
AJA	American Journal of Archaeology				
AJES	American Journal of Economics and Sociology				
AJMD	American Journal of Mental Deficiency	1980			
AJP	American Journal of Philology				
A J Psy	American Journal of Psychology	1980			
AJS	American Journal of Sociology				
AL	American Literature				
A Lead	Adult Leadership				
A Lib	American Libraries				
ANQ	American Notes and Queries				
APR	American Poetry Review	1976			
APSR	American Political Science Review				
AR	Accounting Review				
ARBA	American Reference Books Annual	1977			
ARG	American Record Guide				
AS	American Scholar				
ASBYP	Appraisal: Science Books for Young People			Appraisal: Children's Science Books	
ASR	American Sociological Review				
AW	American West				
Africa T	Africa Today	1980			
Afterimage	Afterimage	1964			
Aging	Aging	1980			
Am	America				
Am Ant	American Antiquity	1980			
Am Arts	American Arts	1964			
Am Craft	American Craft			Craft Horizons	
Am Film	American Film	1961			
Am Mus Teach	American Music Teacher	1980			
Am Spect	American Spectator	1980			
Ams	Americas: A Quarterly Review of Inter-American Cultural History				
Analog	Analog Science Fiction and Fact	1977			
Ant R	Antioch Review				
Antiq	Antiques				
Antiq J	Antiquaries Journal				
Apo	Apollo				
Arch	Archaeology				
Archt R	Architectural Record				
Art Am	Art in America	1975			
Art Dir	Art Direction	1981			
Art J	Art Journal				
Art T	Art Teacher	1980			
Aspen A	Aspen Anthology	1960			
Aspen J	Aspen Journal of the Arts	1960			
B&B	Books & Bookmen				
BC	Book Collector				
BCM	Book Collector's Market				
B Ent	Black Enterprise				
BF	Book Forum	1976			
BHR	Business History Review				
B Hor	Business Horizons	1977			
BIC	Books in Canada	1979			
BL	Booklist				
BM	Burlington Magazine				
